day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
2,2009,09,22,2009-09-22,68.0,62.2,1024.1,9.2,1.9,6.0,999.9,78.1,48.9,0.0,999.9,1,453612
3,2009,09,23,2009-09-23,73.3,67.5,1021.0,9.3,2.1,7.0,14.0,84.0,57.0,0.0,999.9,0,470106
4,2009,09,24,2009-09-24,75.9,68.2,1017.5,9.3,3.4,8.9,18.1,84.0,66.0,0.02,999.9,0,494359
5,2009,09,25,2009-09-25,69.0,57.5,1020.4,9.9,4.7,9.9,15.9,84.0,61.0,0.02,999.9,0,534164
6,2009,09,26,2009-09-26,62.0,52.1,1023.7,9.6,5.0,11.1,999.9,73.0,54.0,0.01,999.9,0,535047
7,2009,09,27,2009-09-27,65.2,61.3,1006.7,6.5,5.3,9.9,17.1,75.0,54.0,1.31,999.9,0,452024
1,2009,09,28,2009-09-28,63.7,55.6,1002.1,9.7,5.8,14.0,27.0,77.0,52.0,0.37,999.9,0,393072
2,2009,09,29,2009-09-29,58.5,44.8,1004.1,10.0,8.1,21.0,27.0,77.0,46.9,0.07,999.9,0,459106
3,2009,09,30,2009-09-30,58.9,47.9,1010.9,10.0,7.2,12.0,22.0,68.0,46.9,0.0,999.9,0,504505
4,2009,10,01,2009-10-01,54.0,42.8,1016.9,10.0,3.8,9.9,18.1,66.9,44.1,0.0,999.9,0,523009
5,2009,10,02,2009-10-02,59.0,50.7,1014.1,10.0,4.2,9.9,15.0,71.1,44.1,0.0,999.9,0,547031
6,2009,10,03,2009-10-03,67.1,58.5,1010.4,8.9,2.5,8.0,999.9,75.9,51.1,0.08,999.9,0,522853
7,2009,10,04,2009-10-04,59.3,47.8,1012.8,9.9,5.2,14.0,22.0,75.9,48.0,0.0,999.9,0,436158
1,2009,10,05,2009-10-05,57.5,43.9,1016.4,10.0,5.1,14.0,18.1,69.1,46.9,0.0,999.9,0,439893
2,2009,10,06,2009-10-06,55.5,47.0,1015.6,10.0,2.2,8.9,999.9,68.0,43.0,0.0,999.9,0,476496
3,2009,10,07,2009-10-07,65.1,52.1,1006.4,9.9,12.4,24.1,42.9,71.1,43.0,0.02,999.9,0,502680
4,2009,10,08,2009-10-08,55.6,42.1,1018.4,10.0,6.5,13.0,999.9,71.1,45.0,0.0,999.9,0,526548
5,2009,10,09,2009-10-09,66.4,53.2,1012.9,10.0,5.1,14.0,21.0,82.9,45.0,0.01,999.9,0,545705
6,2009,10,10,2009-10-10,68.9,58.7,1010.1,10.0,8.7,17.1,26.0,82.9,55.0,0.01,999.9,0,541761
7,2009,10,11,2009-10-11,53.9,42.3,1022.5,10.0,2.5,8.9,15.9,73.0,39.9,0.0,999.9,0,463646
1,2009,10,12,2009-10-12,50.3,39.7,1026.6,10.0,4.5,12.0,999.9,66.0,39.9,0.0,999.9,0,412750
2,2009,10,13,2009-10-13,56.9,47.2,1019.5,10.0,4.6,15.0,24.1,71.1,46.9,0.0,999.9,0,481219
3,2009,10,14,2009-10-14,48.6,35.1,1023.5,10.0,4.5,8.9,15.9,71.1,43.0,0.0,999.9,0,510052
4,2009,10,15,2009-10-15,45.6,43.7,1017.3,5.6,7.8,15.0,21.0,50.0,43.0,0.09,999.9,0,533333
5,2009,10,16,2009-10-16,41.8,40.2,1011.7,2.4,7.2,11.1,15.0,44.6,39.2,0.54,999.9,0,550645
6,2009,10,17,2009-10-17,43.2,42.2,1015.1,3.8,6.3,9.9,15.9,45.0,39.9,0.9,999.9,0,541136
7,2009,10,18,2009-10-18,43.9,38.5,1018.0,7.5,8.8,13.0,20.0,52.0,37.0,1.63,999.9,0,472394
1,2009,10,19,2009-10-19,46.0,32.5,1022.5,10.0,5.2,9.9,999.9,57.0,35.1,0.03,999.9,0,452765
2,2009,10,20,2009-10-20,49.7,36.9,1022.3,9.9,2.2,8.0,999.9,70.0,34.0,0.0,999.9,1,473346
3,2009,10,21,2009-10-21,58.6,42.8,1022.1,10.0,1.9,6.0,999.9,75.0,34.0,0.0,999.9,1,503957
4,2009,10,22,2009-10-22,57.5,48.6,1017.7,10.0,1.8,6.0,999.9,75.0,43.0,0.0,999.9,0,527704
5,2009,10,23,2009-10-23,57.9,51.3,1015.4,9.6,4.3,12.0,999.9,73.9,46.9,0.0,999.9,0,560164
6,2009,10,24,2009-10-24,67.0,63.1,1008.9,8.3,7.9,13.0,22.9,75.2,60.1,0.04,999.9,1,541727
7,2009,10,25,2009-10-25,56.3,42.3,1015.6,10.0,6.0,13.0,25.1,75.0,44.1,0.96,999.9,0,447544
1,2009,10,26,2009-10-26,49.6,42.3,1024.7,10.0,2.9,8.0,999.9,62.1,39.0,0.0,999.9,0,448371
2,2009,10,27,2009-10-27,54.3,51.9,1020.2,5.2,5.3,8.9,999.9,62.1,39.0,0.44,999.9,0,489586
3,2009,10,28,2009-10-28,60.6,56.4,1011.7,5.3,5.8,12.0,19.0,71.1,51.1,1.46,999.9,0,512175
4,2009,10,29,2009-10-29,57.7,50.7,1021.3,10.0,5.5,8.9,999.9,71.1,55.0,0.84,999.9,0,523549
5,2009,10,30,2009-10-30,54.9,48.5,1024.0,9.9,4.2,8.0,999.9,57.9,51.8,0.0,999.9,0,553500
6,2009,10,31,2009-10-31,61.0,58.3,1014.2,7.0,4.9,13.0,20.0,70.0,52.0,0.0,999.9,0,542854
7,2009,11,01,2009-11-01,53.8,47.4,1017.8,9.2,4.5,11.1,15.9,70.0,48.9,0.3,999.9,0,482402
1,2009,11,02,2009-11-02,52.7,41.9,1021.5,10.0,3.1,8.9,999.9,57.9,48.2,0.14,999.9,0,453816
2,2009,11,03,2009-11-03,49.7,39.9,1019.5,9.5,4.3,13.0,21.0,63.0,37.9,0.0,999.9,1,473233
3,2009,11,04,2009-11-04,45.1,28.9,1025.7,10.0,3.5,8.0,999.9,63.0,32.0,0.0,999.9,0,503664
4,2009,11,05,2009-11-05,46.5,35.7,1021.7,10.0,2.6,9.9,15.0,57.0,32.0,0.0,999.9,0,541229
5,2009,11,06,2009-11-06,43.4,28.0,1024.6,10.0,7.0,14.0,18.1,57.0,34.0,0.0,999.9,0,545020
6,2009,11,07,2009-11-07,40.6,30.3,1025.2,10.0,2.2,9.9,14.0,59.0,28.0,0.0,999.9,0,540723
7,2009,11,08,2009-11-08,51.6,41.6,1022.8,9.7,0.5,5.1,999.9,73.0,28.2,0.0,999.9,0,447257
1,2009,11,09,2009-11-09,54.2,45.2,1028.1,7.9,1.5,5.1,999.9,73.0,36.0,0.0,999.9,1,437656
2,2009,11,10,2009-11-10,56.0,47.7,1025.0,8.2,1.5,6.0,999.9,72.0,39.0,0.0,999.9,0,476906
3,2009,11,11,2009-11-11,52.0,44.5,1024.2,8.2,8.9,13.0,22.0,64.9,46.0,0.05,999.9,0,485349
4,2009,11,12,2009-11-12,44.9,40.3,1019.3,7.5,13.3,18.1,27.0,57.9,42.1,0.92,999.9,0,533748
5,2009,11,13,2009-11-13,51.5,42.7,1012.7,8.8,12.5,15.0,27.0,55.0,43.0,0.27,999.9,0,552893
6,2009,11,14,2009-11-14,54.5,51.6,1011.6,6.9,6.4,9.9,17.1,59.0,48.9,0.48,999.9,0,541479
7,2009,11,15,2009-11-15,59.6,51.3,1013.7,9.5,4.7,8.0,999.9,72.0,48.9,0.02,999.9,0,440872
1,2009,11,16,2009-11-16,57.9,46.2,1016.8,9.5,3.9,8.0,999.9,72.0,48.9,0.0,999.9,0,441757
2,2009,11,17,2009-11-17,49.4,33.2,1022.5,10.0,4.5,11.1,17.1,68.0,39.9,0.0,999.9,0,476922
3,2009,11,18,2009-11-18,49.9,41.5,1027.6,10.0,7.2,13.0,999.9,57.0,39.9,0.0,999.9,0,504612
4,2009,11,19,2009-11-19,53.7,52.1,1023.8,2.8,8.6,14.0,999.9,57.9,44.1,0.0,999.9,1,531206
5,2009,11,20,2009-11-20,54.8,47.2,1019.0,8.0,5.6,15.9,19.0,61.0,46.0,0.99,999.9,1,553471
6,2009,11,21,2009-11-21,47.5,37.4,1020.7,10.0,3.3,8.9,15.0,61.0,39.0,0.21,999.9,0,538366
7,2009,11,22,2009-11-22,44.9,38.4,1024.1,9.1,3.1,9.9,19.0,57.9,35.1,0.0,999.9,0,451511
1,2009,11,23,2009-11-23,47.5,42.6,1026.1,8.6,7.6,14.0,18.1,55.0,35.1,0.0,999.9,0,445075
2,2009,11,24,2009-11-24,49.1,47.7,1021.9,3.4,5.0,11.1,999.9,52.0,46.4,1.14,999.9,0,474969
3,2009,11,25,2009-11-25,51.7,50.8,1018.2,2.2,3.5,7.0,999.9,54.0,48.0,0.29,999.9,1,470537
4,2009,11,26,2009-11-26,47.3,46.8,1011.9,2.7,2.0,7.0,999.9,54.0,42.1,0.13,999.9,1,309751
5,2009,11,27,2009-11-27,44.8,36.1,1004.3,8.7,10.5,18.1,31.1,48.9,39.2,0.02,999.9,1,354945
6,2009,11,28,2009-11-28,43.5,29.2,1009.6,10.0,13.4,25.1,34.0,51.1,39.0,0.0,999.9,0,423285
7,2009,11,29,2009-11-29,45.1,31.5,1013.2,9.9,2.0,8.0,999.9,66.9,28.9,0.0,999.9,0,392146
1,2009,11,30,2009-11-30,52.6,41.8,1006.5,9.0,4.4,8.9,999.9,66.9,30.2,0.0,999.9,0,450539
2,2009,12,01,2009-12-01,42.5,27.6,1015.1,10.0,6.4,13.0,22.0,57.9,30.0,0.22,999.9,0,486874
3,2009,12,02,2009-12-02,41.5,36.1,1018.4,8.6,1.6,11.1,14.0,55.0,30.2,0.0,999.9,0,504100
4,2009,12,03,2009-12-03,56.9,49.5,1003.9,8.7,10.2,17.1,27.0,64.4,50.0,1.12,999.9,0,533216
5,2009,12,04,2009-12-04,43.5,33.9,1018.6,10.0,2.6,8.0,999.9,64.0,34.0,0.53,999.9,0,561295
6,2009,12,05,2009-12-05,39.1,33.2,1018.5,6.1,4.6,12.0,17.1,48.0,33.1,0.0,1.2,1,576771
7,2009,12,06,2009-12-06,32.0,24.7,1023.2,9.5,7.3,11.1,18.1,44.1,27.0,0.85,1.2,0,454212
1,2009,12,07,2009-12-07,32.5,26.2,1026.4,8.7,2.0,8.9,999.9,41.0,26.1,0.0,1.2,0,468013
2,2009,12,08,2009-12-08,36.8,27.8,1026.2,9.6,2.8,8.0,999.9,44.1,26.1,0.0,1.2,0,504885
3,2009,12,09,2009-12-09,43.4,39.3,1004.6,6.1,9.2,22.0,31.1,54.0,33.1,1.65,999.9,0,518683
4,2009,12,10,2009-12-10,40.8,25.0,1003.0,10.0,12.3,21.0,28.0,54.0,30.9,0.06,999.9,0,557444
5,2009,12,11,2009-12-11,28.8,5.3,1021.5,10.0,12.7,22.0,33.0,46.0,21.9,0.0,999.9,0,596882
6,2009,12,12,2009-12-12,32.4,8.7,1032.6,10.0,5.4,9.9,999.9,43.0,21.9,0.0,999.9,0,563707
7,2009,12,13,2009-12-13,34.4,26.0,1027.1,7.1,1.2,8.9,999.9,43.0,23.0,0.04,999.9,0,485447
1,2009,12,14,2009-12-14,41.2,38.2,1018.0,8.4,3.1,8.9,999.9,50.0,30.2,0.63,999.9,1,467920
2,2009,12,15,2009-12-15,48.0,42.5,1014.6,7.1,4.1,13.0,21.0,57.9,34.0,0.0,999.9,0,508401
3,2009,12,16,2009-12-16,37.1,20.0,1024.5,10.0,11.1,17.1,24.1,57.9,28.9,0.0,999.9,0,546710
4,2009,12,17,2009-12-17,29.2,12.5,1028.3,10.0,6.9,12.0,21.0,39.0,21.9,0.0,999.9,0,566530
5,2009,12,18,2009-12-18,27.8,15.8,1024.6,10.0,2.0,7.0,999.9,36.0,21.0,0.0,999.9,0,581923
6,2009,12,19,2009-12-19,26.6,21.7,1010.0,2.2,9.9,17.1,25.1,33.1,21.0,0.17,16.1,1,488811
7,2009,12,20,2009-12-20,28.0,18.8,1010.7,7.8,9.0,14.0,22.9,34.0,23.0,1.4,13.0,0,312230
1,2009,12,21,2009-12-21,30.0,18.4,1017.6,10.0,9.2,12.0,21.0,37.9,24.1,0.0,11.0,0,425440
2,2009,12,22,2009-12-22,31.9,21.8,1021.6,10.0,7.3,14.0,20.0,37.9,21.0,0.0,9.1,0,455090
3,2009,12,23,2009-12-23,27.4,16.2,1024.9,10.0,4.4,11.1,999.9,37.9,19.0,0.0,7.9,0,456094
4,2009,12,24,2009-12-24,24.5,14.9,1028.0,10.0,1.9,7.0,999.9,37.9,14.0,0.0,5.9,0,382635
5,2009,12,25,2009-12-25,30.1,27.1,1027.3,7.0,4.9,15.0,999.9,39.9,14.0,0.0,5.1,1,233221
6,2009,12,26,2009-12-26,45.7,45.5,1013.8,1.9,10.2,18.1,999.9,52.0,39.9,1.44,2.0,1,320616
7,2009,12,27,2009-12-27,42.6,32.9,1013.8,9.9,5.6,12.0,999.9,52.0,32.0,0.31,999.9,0,312947
1,2009,12,28,2009-12-28,35.3,21.7,1009.0,10.0,9.5,22.0,29.9,50.0,30.0,0.0,999.9,0,375455
2,2009,12,29,2009-12-29,30.1,10.5,1017.6,10.0,14.8,21.0,33.0,39.0,26.1,0.0,999.9,0,447016
3,2009,12,30,2009-12-30,24.0,11.2,1031.4,10.0,2.9,12.0,999.9,33.1,18.0,0.0,999.9,0,429635
4,2009,12,31,2009-12-31,30.8,24.0,1023.1,6.3,0.8,6.0,999.9,34.0,18.0,0.18,1.2,0,461201
