date,weekday_num,temp,slp,wdsp,collisions
2013-05-03,5,46.9,1030.0,13.7,541.0
2013-05-04,6,47.8,1026.5,13.7,468.0
2013-05-05,0,47.8,1025.3,10.1,417.0
2013-05-06,1,49.2,1024.3,5.5,448.0
2013-05-07,2,54.4,1021.9,4.5,469.0
2013-05-08,3,59.4,1021.5,10.5,464.0
2013-05-09,4,57.2,1015.2,6.2,478.0
2013-05-10,5,56.1,1014.8,8.3,366.0
2013-05-11,6,56.2,1013.1,9.4,410.0
2013-05-12,0,56.2,1005.6,11.0,424.0
2013-05-13,1,53.1,1013.5,11.9,456.0
2013-05-14,2,51.0,1015.8,11.8,395.0
2013-05-15,3,53.1,1016.5,12.1,297.0
2013-05-16,4,57.7,1006.9,12.5,451.0
2013-05-17,5,58.2,1013.8,10.7,337.0
2013-05-18,6,54.6,1025.3,5.1,421.0
2013-05-19,0,56.3,1027.4,6.6,434.0
2013-05-20,1,57.5,1020.4,10.3,532.0
2013-05-21,2,58.0,1014.3,7.8,386.0
2013-05-22,3,57.8,1013.8,7.1,448.0
2013-05-23,4,61.5,1015.1,13.3,246.0
2013-05-24,5,61.0,1009.8,14.0,518.0
2013-05-25,6,55.6,1005.9,7.6,305.0
2013-05-26,0,50.2,1010.9,13.9,115.0
2013-05-27,1,56.9,1020.0,14.1,166.0
2013-05-28,2,56.6,1023.2,6.4,543.0
2013-05-29,3,57.9,1021.0,10.9,467.0
2013-05-30,4,60.9,1018.8,11.6,544.0
2013-05-31,5,62.0,1018.5,9.0,313.0
2013-06-01,6,60.9,1016.7,10.9,506.0
2013-06-02,0,61.8,1013.6,12.6,287.0
2013-06-03,1,60.8,1012.0,12.7,550.0
2013-06-04,2,61.8,1012.5,8.7,482.0
2013-06-05,3,58.6,1020.5,5.7,470.0
2013-06-06,4,58.6,1022.0,7.5,484.0
2013-06-07,5,56.1,1016.3,11.8,0.0
2013-06-08,6,62.3,1009.3,19.1,449.0
2013-06-09,0,63.6,1019.3,8.1,422.0
2013-06-10,1,62.2,1021.3,6.0,502.0
2013-06-11,2,60.8,1008.7,13.2,503.0
2013-06-12,3,64.0,1003.4,14.0,484.0
2013-06-13,4,60.8,1008.2,8.7,431.0
2013-06-14,5,55.0,1003.0,18.3,478.0
2013-06-15,6,62.4,1011.0,7.4,474.0
2013-06-16,0,61.3,1013.5,9.2,152.0
2013-06-17,1,63.2,1011.3,9.1,231.0
2013-06-18,2,60.9,1012.9,4.9,478.0
2013-06-19,3,62.6,1014.3,12.2,512.0
2013-06-20,4,60.6,1023.9,5.6,530.0
2013-06-21,5,62.0,1025.9,8.3,212.0
2013-06-22,6,63.4,1024.6,8.2,475.0
2013-06-23,0,64.9,1021.8,9.0,266.0
2013-06-24,1,66.8,1016.0,12.1,539.0
2013-06-25,2,69.7,1012.8,10.2,501.0
2013-06-26,3,69.5,1008.6,9.9,492.0
2013-06-27,4,65.5,1010.0,5.4,475.0
2013-06-28,5,66.1,1004.7,12.9,471.0
2013-06-29,6,66.2,1004.0,13.7,463.0
2013-06-30,0,65.4,1012.1,8.8,154.0
2013-07-01,1,66.7,1017.0,10.4,341.0
2013-07-02,2,67.7,1022.2,9.5,470.0
2013-07-03,3,68.7,1024.1,9.5,489.0
2013-07-04,4,69.8,1023.5,11.9,176.0
2013-07-05,5,71.6,1021.6,12.4,459.0
2013-07-06,6,73.0,1018.5,13.1,238.0
2013-07-07,0,74.4,1016.3,9.1,391.0
