date,temp,slp,wdsp,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,collisions
2013-02-16,39.2,1012.3,8.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25055555555555553
2013-02-17,30.9,998.1,23.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.17555555555555555
2013-02-18,24.6,1010.5,22.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.016666666666666666
2013-02-19,36.7,1019.0,10.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3887037037037037
2013-02-20,38.7,1004.5,16.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4105555555555555
2013-02-21,30.6,1009.7,17.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.39037037037037037
2013-02-22,35.4,1022.3,14.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5840740740740741
2013-02-23,36.3,1022.9,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5111111111111111
2013-02-24,42.6,1004.7,17.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.08944444444444444
2013-02-25,37.5,1015.7,13.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.44074074074074077
2013-02-26,35.0,1025.2,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.49370370370370364
2013-02-27,44.1,1014.7,18.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6246296296296296
2013-02-28,41.4,1002.1,7.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5396296296296297
2013-03-01,39.3,1000.8,10.6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.7064713064713064
2013-03-02,38.2,1004.0,9.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.16837606837606836
2013-03-03,37.4,1002.6,7.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.24844703907203908
2013-03-04,37.0,1002.1,11.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.3559409340659341
2013-03-05,38.5,1009.5,14.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.3542849511599512
2013-03-06,39.1,1014.7,13.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2946695665445665
2013-03-07,38.3,1008.2,31.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.4891826923076923
2013-03-08,37.4,1008.1,28.4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.25
2013-03-09,39.2,1018.9,24.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.4903655372405372
2013-03-10,39.0,1026.9,11.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.03333333333333333
2013-03-11,39.9,1026.1,6.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.4257745726495727
2013-03-12,46.0,1018.9,13.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.27483974358974356
2013-03-13,46.3,1007.6,13.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.6555555555555556
2013-03-14,37.0,1007.7,10.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6143543956043955
2013-03-15,31.2,1009.1,18.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.8083333333333333
2013-03-16,37.1,1008.1,10.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.40976419413919407
2013-03-17,34.8,1014.7,7.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.03504273504273504
2013-03-18,32.1,1027.6,9.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.595188492063492
2013-03-19,39.6,1012.4,16.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5254960317460318
2013-03-20,36.5,1007.3,17.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4948374542124542
2013-03-21,38.3,1006.7,10.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.2653044871794872
2013-03-22,34.3,1003.8,13.6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.4361721611721612
2013-03-23,38.5,1006.3,15.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.24479166666666666
2013-03-24,39.1,1008.5,10.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.14746642246642247
2013-03-25,38.1,1003.3,9.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.26706349206349206
2013-03-26,39.8,1002.7,15.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.047619047619047616
2013-03-27,41.7,1008.3,9.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.13495879120879123
2013-03-28,42.5,1011.7,12.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6329403235653236
2013-03-29,45.2,1016.4,8.9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.4119619963369963
2013-03-30,44.5,1017.4,7.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.3693452380952381
2013-03-31,43.0,1019.2,7.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.10069444444444445
2013-04-01,47.0,1005.8,16.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.21600877192982457
2013-04-02,39.6,1011.4,17.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.07772435897435898
2013-04-03,42.6,1015.8,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3159702139965298
2013-04-04,39.0,1023.2,14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6232889917100443
2013-04-05,42.9,1014.7,8.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.517742673992674
2013-04-06,40.2,1018.3,12.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.466719683824947
2013-04-07,39.7,1025.8,9.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1458755060728745
2013-04-08,50.0,1018.1,9.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4582188644688645
2013-04-09,49.4,1015.9,10.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9144977829188355
2013-04-10,46.5,1014.1,8.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7293594563331406
2013-04-11,46.2,1013.7,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.44933849045691154
2013-04-12,43.6,1018.6,13.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.15789473684210525
2013-04-13,44.4,1008.2,12.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.4763772411798728
2013-04-14,46.1,1015.5,7.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2427884615384615
2013-04-15,46.1,1026.0,8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.750801282051282
2013-04-16,46.0,1028.7,9.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6847587719298245
2013-04-17,52.1,1021.9,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5102540003855793
2013-04-18,46.5,1028.1,8.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5570657412762676
2013-04-19,52.6,1018.1,12.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5992866782340467
2013-04-20,52.7,1012.4,15.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5621987661461345
2013-04-21,45.1,1029.4,11.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.24647556390977443
2013-04-22,43.0,1037.8,11.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6366577501445922
2013-04-23,44.6,1026.9,15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.41040702718334293
2013-04-24,47.5,1012.9,19.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6425257856178909
2013-04-25,50.8,1017.9,10.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7005795739348372
2013-04-26,49.5,1026.9,6.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23684210526315788
2013-04-27,46.6,1029.1,3.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2695561017929439
2013-04-28,48.0,1027.1,3.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.04017857142857143
2013-04-29,49.7,1025.5,4.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4977106227106227
2013-04-30,51.0,1026.2,5.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.607492288413341
2013-05-01,49.9,1030.2,7.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.36747099668114847
2013-05-02,49.9,1030.3,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.39376103536445095
2013-05-03,46.9,1030.0,13.7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.7342578923461277
2013-05-04,47.8,1026.5,13.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.39743361381169734
2013-05-05,47.8,1025.3,10.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.1766823664949851
2013-05-06,49.2,1024.3,5.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.33549454001304096
